,Weight,MRR
0,0.01,0.8542026124677096
1,0.02,0.8559202937401504
2,0.03,0.8560592029374015
3,0.04,0.857475101947978
4,0.05,0.8586663904729411
5,0.060000000000000005,0.8589756868288086
6,0.07,0.8598087358450716
7,0.08,0.8606360985199266
8,0.09,0.86197096716544
9,0.09999999999999999,0.862889311302822
10,0.10999999999999999,0.8638921382268363
11,0.11999999999999998,0.8647024418774675
12,0.12999999999999998,0.8655119331936119
13,0.13999999999999999,0.8666447336355217
14,0.15,0.8677748939903495
15,0.16,0.8685254910561973
16,0.17,0.8691682507189159
17,0.18000000000000002,0.8700522737242287
18,0.19000000000000003,0.8704787493298239
19,0.20000000000000004,0.871667194684083
20,0.21000000000000005,0.8722935045734432
21,0.22000000000000006,0.8726162044483436
22,0.23000000000000007,0.8740662215073679
23,0.24000000000000007,0.8749057691995256
24,0.25000000000000006,0.8758013679712758
25,0.26000000000000006,0.8762796299004078
26,0.2700000000000001,0.8766378694091079
27,0.2800000000000001,0.8773031713538366
28,0.2900000000000001,0.8775761157414177
29,0.3000000000000001,0.8789408376793229
30,0.3100000000000001,0.8795927361050185
31,0.3200000000000001,0.8801556839044044
32,0.3300000000000001,0.8811593231629056
33,0.34000000000000014,0.8825008935679355
34,0.35000000000000014,0.8830467823430975
35,0.36000000000000015,0.8834070526880148
36,0.37000000000000016,0.8839358824389532
37,0.38000000000000017,0.8842770629234293
38,0.3900000000000002,0.8848741287712628
39,0.4000000000000002,0.8853006043768582
40,0.4100000000000002,0.885326192913194
41,0.4200000000000002,0.8860341424184822
42,0.4300000000000002,0.8859317882731393
43,0.4400000000000002,0.886246567886793
44,0.45000000000000023,0.8864598056895907
45,0.46000000000000024,0.8872786388523339
46,0.47000000000000025,0.8879780588455102
47,0.48000000000000026,0.8885702506864227
48,0.49000000000000027,0.8886646845705186
49,0.5000000000000002,0.8887329206674139
50,0.5100000000000002,0.8889205699338759
51,0.5200000000000002,0.8894323406605903
52,0.5300000000000002,0.8904132345534598
53,0.5400000000000003,0.8904558821140192
54,0.5500000000000003,0.8910785364981886
55,0.5600000000000003,0.8913721954151842
56,0.5700000000000003,0.8917986710207796
